longitude,latitude,alt,temp,prec,hum,dist_aqua
30.86666667,-15.3,683.796875,30.27086639,83.17500305,64.95833588,28.27199936
30.86666667,-15.23333333,785.34375,29.17067528,83.17500305,64.95833588,35.31000137
30.86666667,-15.16666667,865.625,28.81523514,83.17500305,64.95833588,42.47900009
30.86666667,-15.1,918.515625,28.5000248,88.96666718,64.91666412,49.72200012
30.86666667,-15.03333333,967.078125,28.1371479,88.96666718,64.91666412,55.23099899
30.86666667,-14.96666667,1001.359375,28.12037468,89.0083313,64.71666718,49.88499832
30.86666667,-14.9,962.265625,28.68749809,89.0083313,64.71666718,42.88000107
30.86666667,-14.83333333,953.09375,28.71105957,89.0083313,64.71666718,36.04199982
30.86666667,-14.76666667,910.3870968,29.13351631,85.78333282,64.34166718,26.49399948
30.93333333,-16.03333333,369.0909091,31.59540749,72.22499847,66.0083313,9.37899971
30.93333333,-15.96666667,374.9375,31.66536331,70.9916687,65.65833282,15.38099957
30.93333333,-15.9,410.015625,31.24894524,70.9916687,65.65833282,14.88399982
30.93333333,-15.83333333,363.625,31.57490349,70.9916687,65.65833282,7.862999916
30.93333333,-15.76666667,349.296875,31.72348595,69.55000305,65.2583313,3.125
30.93333333,-15.7,346.5,30.98419762,69.55000305,65.2583313,0.654999971
30.93333333,-15.63333333,429.625,31.00757408,72.3833313,65.1333313,2.808000088
30.93333333,-15.56666667,557.34375,30.6013279,72.3833313,65.1333313,9.585000038
30.93333333,-15.5,538.46875,31.29936981,72.3833313,65.1333313,15.99499989
30.93333333,-15.43333333,607.953125,30.81612396,77.42500305,65.06666565,20.7140007
30.93333333,-15.36666667,671.390625,30.1658783,77.42500305,65.06666565,25.62000084
30.93333333,-15.3,681.171875,30.17225456,83.17500305,64.95833588,31.52499962
30.93333333,-15.23333333,749.421875,29.62164116,83.17500305,64.95833588,37.96500015
30.93333333,-15.16666667,849.859375,29.01361275,83.17500305,64.95833588,44.7120018
30.93333333,-15.1,879.9375,28.94622612,88.96666718,64.91666412,51.64300156
30.93333333,-15.03333333,931.234375,28.59783936,88.96666718,64.91666412,55.50799942
30.93333333,-14.96666667,990.78125,28.35247993,89.0083313,64.71666718,48.1780014
30.93333333,-14.9,1018.703125,28.11709404,89.0083313,64.71666718,40.88100052
30.93333333,-14.83333333,973.734375,28.20706558,89.0083313,64.71666718,33.63800049
30.93333333,-14.76666667,917.8913043,28.90267944,85.78333282,64.34166718,26.49399948
31,-16.03333333,354.0425532,31.89864159,72.42500305,65.81666565,9.37899971
31,-15.96666667,361.71875,31.85999107,71.43333435,65.48332977,8.281000137
31,-15.9,388.5,31.61069107,71.43333435,65.48332977,9.98900032
31,-15.83333333,389.75,31.33304214,71.43333435,65.48332977,7.418000221
31,-15.76666667,335.921875,31.03907776,70.64167023,65.1333313,0.912
31,-15.7,323.796875,31.09202194,70.64167023,65.1333313,0
31,-15.63333333,505.21875,30.73753548,74.19999695,65.03333282,4.447000027
31,-15.56666667,590.25,30.45189476,74.19999695,65.03333282,11.34599972
31,-15.5,569.046875,31.09974289,74.19999695,65.03333282,18.50099945
31,-15.43333333,667.828125,30.12443542,80.15833282,65.0083313,25.72400093
31,-15.36666667,658.640625,30.19346237,80.15833282,65.0083313,30.87299919
31,-15.3,710.53125,29.98030853,85.71666718,64.94166565,35.92599869
31,-15.23333333,783.859375,29.16460419,85.71666718,64.94166565,41.69300079
31,-15.16666667,841.453125,29.2619915,85.71666718,64.94166565,47.91799927
31,-15.1,906.78125,28.85276031,90.05833435,64.8833313,54.44400024
31,-15.03333333,966.125,28.17353249,90.05833435,64.8833313,54.92499924
31,-14.96666667,981.46875,28.40558434,89.73332977,64.60832977,47.50500107
31,-14.9,977.34375,28.68535423,89.73332977,64.60832977,40.08499908
31,-14.83333333,992.453125,28.50074005,89.73332977,64.60832977,32.66600037
31,-14.76666667,964.3934426,28.34551048,88.89167023,64.40000153,25.24799919
31,-14.7,958,29.16924858,88.89167023,64.40000153,25.24799919
31.06666667,-16.03333333,335,32.03142548,72.42500305,65.81666565,9.37899971
31.06666667,-15.96666667,335.90625,31.98863792,71.43333435,65.48332977,1.486999989
31.06666667,-15.9,364.046875,31.60139847,71.43333435,65.48332977,4.645999908
31.06666667,-15.83333333,381.703125,31.42894554,71.43333435,65.48332977,5.71600008
31.06666667,-15.76666667,327.015625,30.69970512,70.64167023,65.1333313,0
31.06666667,-15.7,335,31.25676918,70.64167023,65.1333313,0.178000003
31.06666667,-15.63333333,488.328125,30.93618202,74.19999695,65.03333282,6.543000221
31.06666667,-15.56666667,498.984375,31.06768036,74.19999695,65.03333282,13.7670002
31.06666667,-15.5,537.59375,31.2217617,74.19999695,65.03333282,20.74900055
